Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Azerbaijan,-0.15516728065321064,-0.1547634940957277,-0.1521742105662789,-0.14717746017025407,-0.14213765581138907,-0.14044110805003368,-0.13840800004652276,-0.1461655472561696,-0.14060645906604632,-0.14041720332597923,-0.1408275172889265,-0.14129057106216017,-0.1439688258580308,-0.1462889126898393,-0.1484630893059125,-0.1528723439832337,-0.15176060637962308,-0.154013548651808,-0.15485527596434204,-0.15643366332028683,-0.15333643194468133,-0.15896168680175768
Bahamas,-0.19959931405674375,-0.19566101762043694,-0.19398364719735747,-0.19033797161056068,-0.18457057488565295,-0.18458951594929152,-0.18953568987108618,-0.19105092102945875,-0.18980398510623347,-0.18704357538836341,-0.18617419071542693,-0.18556072765556045,-0.1869841001203617,-0.1872100643671131,-0.18813049825986777,-0.1896909914461196,-0.18829486534463738,-0.1884511693946767,-0.18811197887629633,-0.18713692728573525,-0.18732017563318507,-0.1851770597290235
Bahrain,-0.19848687139880183,-0.19458793118950504,-0.1928972992708573,-0.18927311526805146,-0.18354431836302645,-0.18346105362196466,-0.18841507344595523,-0.18993970774930283,-0.188767141715808,-0.18606533333063183,-0.18519208695698822,-0.18457697213974114,-0.1860602473108854,-0.18631011960163255,-0.1873498588668563,-0.1888117142787299,-0.18735554587437014,-0.18751100241967,-0.18721141454717147,-0.18625094946940912,-0.18631680042808918,-0.18400397224143927
Bangladesh,0.4133794691759629,0.40916936578084595,0.4293157311628804,0.42393611465745124,0.406699113144843,0.4253521887388159,0.4875646266835857,0.5092164520371232,0.4934117068385811,0.4827542543825044,0.47539543187710265,0.4187950661177261,0.3816785785524937,0.38725193617571496,0.4086497753320893,0.4207159361687444,0.43070166949785793,0.4796066865737582,0.49171319264789615,0.5044863463078633,0.5288821771065991,0.5050668186403969
Barbados,-0.19865542958137794,-0.19479916033895833,-0.1930709845313199,-0.1895320193705089,-0.18396765868694473,-0.1840236284444668,-0.188982914240489,-0.1904719307895104,-0.18934942477033806,-0.18667804723797715,-0.18579477702178526,-0.18514596914812553,-0.18659927836354176,-0.18679575963775874,-0.18776668426427143,-0.18930245615078586,-0.1879296404599392,-0.1880904426999556,-0.18772516150561938,-0.18668343897385686,-0.18701267600610044,-0.18488136133440525
Belarus,-0.061725336239148186,-0.05761912885270329,-0.050979629097702435,-0.05616570771511081,-0.05775811779169128,-0.05707356354752437,-0.0596189004499124,-0.0661434224955511,-0.07044692380247326,-0.0704774387526537,-0.07241814692980547,-0.07709636796120573,-0.08513341985843376,-0.08824693741852549,-0.09381536734171683,-0.09609329549250564,-0.0962985988890328,-0.09866578150916543,-0.0989543017107278,-0.10256887587499604,-0.10584183726793149,-0.10743822687629871
Belgium,-0.1370594044973078,-0.13704982556351997,-0.13701705522859028,-0.1371422058528613,-0.13570756391421865,-0.1375208914068245,-0.1415979722693919,-0.14414871176734967,-0.14280967596249375,-0.14186161766330282,-0.14180221898170658,-0.14188904888052703,-0.14260999527360432,-0.14345632356247964,-0.14597521539226507,-0.14696031785867034,-0.14697680550375652,-0.1485422480013889,-0.1486437825752219,-0.1505575955008234,-0.1539551941208642,-0.1524168230016191
Belize,-0.1998110110055883,-0.19601802929377668,-0.19435479796005375,-0.1908029534090338,-0.18508472712148846,-0.18507601531284165,-0.1900234474257464,-0.19155822207506767,-0.19037638772403898,-0.1875721045522289,-0.18672437237695821,-0.18607921922916154,-0.18752055906952417,-0.18770836160812032,-0.18869339564497004,-0.19023827066661125,-0.18887524130024075,-0.18900197259752624,-0.18865707459303654,-0.18770287468395577,-0.1878614534152284,-0.18569381823645187
Benin,-0.16640010544243852,-0.16355445160171855,-0.16247137488007063,-0.16031391025821876,-0.15536395438206113,-0.15508397755713121,-0.15796447360580623,-0.15845978256696552,-0.15698304195075274,-0.15400793639845892,-0.15290329346729128,-0.15113003754988055,-0.15136602013567804,-0.15101424973604294,-0.1513858659700076,-0.1518706848458661,-0.150746646124894,-0.1508597858314791,-0.15062396087217964,-0.14988343174205868,-0.14855412905768467,-0.14742784038053566
Bhutan,-0.1990533261252023,-0.19510707049948658,-0.19339872996024576,-0.1898266679228947,-0.18410908419667665,-0.18404484123477807,-0.18893497408318463,-0.1904571622001186,-0.18925393396418905,-0.18652867388794842,-0.18569600570815323,-0.18501524579227013,-0.18639695904099068,-0.18653882421148732,-0.18748413116751572,-0.18895161242107594,-0.1875695085779716,-0.18768768146467038,-0.18741622278097989,-0.18654160303926773,-0.18679707647439064,-0.18468137433871207
Bolivia,-0.16369862634458565,-0.1621324929665518,-0.16227716957227328,-0.1611404094779913,-0.157193943135419,-0.15769809073028682,-0.1618397583063748,-0.1628770061182687,-0.16226540055790648,-0.16002800097337272,-0.1596331590382777,-0.15874002502256218,-0.16006692014332655,-0.16020798840217873,-0.1609914506024222,-0.1624258840675743,-0.16158806444845158,-0.1619474146706778,-0.16203194939242382,-0.16153223821091756,-0.1602516226276783,-0.16027969089769264
Bosnia and Herzegovina,-0.15768193995017887,-0.15506333096169667,-0.15414317622969728,-0.15230928112009065,-0.14739000146946793,-0.14631519121478148,-0.1490989600882269,-0.1471705497642827,-0.14824210876404317,-0.14586319520376445,-0.14640873262415552,-0.14595942782578653,-0.14826646005488453,-0.14869395660163265,-0.1495779562871456,-0.15006761746579483,-0.14973709980586472,-0.14987094140710736,-0.15014874219533922,-0.14863778892991902,-0.14798825978529884,-0.1476194707953032
Botswana,-0.19503956024452168,-0.19114175937995642,-0.1898194839467897,-0.18648760134863268,-0.18097384974799807,-0.1807402953249153,-0.18582789075825015,-0.18665018906964312,-0.1844149298317675,-0.18116132129752036,-0.18030707059413417,-0.17947644449831665,-0.1807116165523021,-0.1807887201949857,-0.18200744884364806,-0.18395401142693796,-0.18273862572130725,-0.1830697992155043,-0.1830501957169949,-0.18243641674465955,-0.18197836334199463,-0.1806843334447744
Brazil,0.5445953987818027,0.5323688995485706,0.5138771841694325,0.4931796794758535,0.4819411706305081,0.4592196579913146,0.5161401930430088,0.520042443419216,0.5204110243800691,0.5119272472060854,0.49927784975277617,0.5068883598714331,0.5036487199985716,0.4979944879304185,0.48759130909010273,0.49045302118969836,0.4956455465275508,0.47352518730062226,0.4529961060188432,0.44612067125556265,0.4646240298536913,0.47549671965742435
Brunei,-0.20000768518918283,-0.1960590575120289,-0.19427738432353545,-0.1907248384121665,-0.18505307168054308,-0.18502853353288462,-0.189970017937453,-0.19148868663334784,-0.19026167826352938,-0.18753110357344926,-0.1866871885627513,-0.18610817876745472,-0.18754242194922197,-0.18771588593728922,-0.18867241196508341,-0.19011825887177228,-0.18867310568075796,-0.18872045840354934,-0.18830286650764624,-0.18733220008322338,-0.18753884910118768,-0.1853656796984886
Bulgaria,-0.0021045980501562395,-0.013604982755374459,-0.014583329813223182,-0.02074891524440743,-0.02680693726631322,-0.03387897556605699,-0.027801335208357283,-0.0280903058538619,-0.035903049369863646,-0.04309869595583961,-0.04099539512216576,-0.04999139850032163,-0.04205927950023201,-0.04788439427187632,-0.040803035498323724,-0.043580735679283236,-0.05892014642697372,-0.05543735951210284,-0.0554908376985487,-0.05903963700060559,-0.054019723278816725,-0.04778573416664924
Burkina Faso,-0.16408942497638823,-0.16037648522535736,-0.15873647056362364,-0.15666511924112494,-0.15173311626460748,-0.1513204798525061,-0.1534813369870504,-0.15389881141224865,-0.1523560454819516,-0.1490819785177129,-0.14840116051635635,-0.14675494634270017,-0.14665094523315042,-0.14597312417727779,-0.14662960394673444,-0.14749950379819984,-0.14615111658329932,-0.1463413797460383,-0.14626878530144968,-0.14603737395346816,-0.14400072842669948,-0.14366680801746146
Burundi,-0.17134831488637828,-0.16965733289218868,-0.16971162746941612,-0.16785580682346452,-0.16297267021077072,-0.16374931522344235,-0.16790925058839906,-0.16987479452263526,-0.16919953924845915,-0.16586825118379697,-0.1645668671142923,-0.16359393323588198,-0.1643035837959963,-0.16388091094299864,-0.16438528472302996,-0.16602120851671742,-0.16466084276253734,-0.16450169683879218,-0.16388574615682544,-0.16257487464943093,-0.16152534522983703,-0.15736376319692746
Cambodia,-0.13379016134947766,-0.13161901295783923,-0.1333488250846359,-0.13163063051747606,-0.12667622565352218,-0.12552497130993975,-0.12641612955298068,-0.1250281267607105,-0.12328906581615197,-0.11961436858905947,-0.11719543958697258,-0.11386171812500516,-0.11178766071011935,-0.10951716607261612,-0.10748271813234866,-0.10610641831719785,-0.10305044919781416,-0.10065089478539237,-0.09852654461549779,-0.09599012673475849,-0.09284894454502463,-0.09220407604034431
