Country,MAPE,MAE,RMSE
Indonesia,19.119064390868378,77152.80073473512,79199.42842301175
Israel,19.150918101448745,489.8072012254726,524.8672264909053
Montenegro,19.226967399066606,300.22550351965856,323.9279335860774
Ecuador,19.307762996193937,1138.128132053915,1226.4854065929474
Qatar,19.388965339093808,51.20176960102734,51.775479489390776
Myanmar,19.47197803839407,11267.371851290858,11400.239123943487
Bolivia,19.539222181952354,962.3228932750811,969.154968615424
Georgia,19.58874754157215,1872.8984998316848,2139.437452348745
Brazil,19.671175470357777,23445.271413751016,23610.321066599503
Bosnia and Herzegovina,19.831692790271433,1406.831488524349,1417.2774770431115
Latvia,19.861031527713923,1069.3080186171492,1106.5326917980626
Bulgaria,19.892603229105628,4869.772069910991,5011.058566962611
Singapore,19.970225416807192,320.2629489494564,360.7347452005896
Congo,19.97981344009221,449.8780518464468,457.41364272169784
Tonga,20.106129475962998,11.596946309739472,11.669049042495635
Saint Vincent and the Grenadines,20.12935289508994,21.099995019670054,21.879565901988926
Finland,20.176061610787087,953.4970812273738,965.9267291891911
Palau,20.494634282949047,4.699920481435459,4.722230411379926
France,20.51523344048799,7601.21345646118,7682.617707939865
Netherlands,20.686870178637875,1985.4934067843653,2052.8401538897233
Mexico,20.766989772826765,7163.978894417312,7352.076628604907
Canada,20.820954887693034,2943.525470959929,2957.903337944178
Botswana,20.874950851526055,247.87446816753572,256.3837376585878
Gabon,20.927045100553322,206.67741997523407,215.89296441775988
Japan,21.198737131715433,27936.424484490417,28049.25244201174
Antigua and Barbuda,21.225109852877853,11.952422422243083,16.32521954861633
Maldives,21.249190894933076,78.02517258767058,111.79092246768175
Saudi Arabia,21.549514507370542,570.5079180195365,612.1259855821031
Argentina,21.57018327437982,4898.218249471515,5043.080009825775
Lithuania,21.607098754540417,1252.8255580323814,1270.6015772539565
Switzerland,21.731428643677315,860.7453246016812,869.5775909870913
Cyprus,21.738726867628912,109.9101540801846,112.50232737898213
New Zealand,21.810180965408048,527.7970411435459,544.9734472881003
Germany,21.96130170380944,13333.042677584514,13435.117958792709
Romania,22.050879583978595,11284.173941646042,11416.180564005559
Marshall Islands,22.080838935121786,10.089079283228493,10.250887706137839
Austria,22.098960880683624,1157.9083256685456,1176.867831840482
Kazakhstan,22.10903831607943,4902.585304735374,5156.873874626281
North Macedonia,22.112957618773148,897.5917744235958,972.7310485344601
Slovenia,22.115368745689434,427.9398450193036,435.7244587211734
Italy,22.137204831070793,13723.688278018524,14041.071091380612
Guyana,22.209645360835523,145.8714969792653,154.18382018402275
Seychelles,22.232918847343797,16.04843757798301,18.29987563904818
Poland,22.287092720225953,7926.965347233668,8180.6945221002725
Australia,22.288334419513593,2410.5432485318956,2428.328960088115
Tajikistan,22.3250393325292,1010.7270915013409,1033.96994308297
Mongolia,22.3670788531351,596.0949125737324,619.5431800844292
Nauru,22.425573372542562,2.456236815391508,2.525518223412752
San Marino,22.46522206889945,5.507055464381703,6.239860089896639
Tuvalu,22.4741446287959,3.162904411749127,3.1699592312338565
Greece,22.615123691866273,3641.072197683776,3723.905000517137
Sri Lanka,22.698240947144672,5041.395950667348,5391.115239495448
Serbia,22.757313012198953,3721.9172889158417,3821.2758134194432
Saint Kitts and Nevis,22.766346684238172,13.877226273826798,14.10162156822151
South Korea,22.80486350628695,6601.081166944229,6706.286227835584
Iceland,23.131254414060336,32.582205250312164,33.38611934377939
Uruguay,23.349447893418443,678.3988335996805,715.496663536764
Belgium,23.353070628311517,1710.6424668215457,1719.55756295672
Hungary,23.386876190023514,2941.4984290281413,3023.0232454629218
Spain,23.573581071739667,7128.091495560623,7203.193015406803
Denmark,23.827978494549683,908.1272251389673,929.5454616822047
Slovakia,23.894209842290262,1252.653223969318,1299.6016182419808
Andorra,24.04141049866894,7.1117807278406175,7.864501202803929
Ireland,24.159703536729353,449.64597256725574,456.78275659824857
Uzbekistan,24.43602221588273,6563.644298064554,6687.567149924147
Belarus,24.482461804672813,4133.841179506045,4194.057751554923
Ukraine,24.580670555787407,21484.63559174305,21859.215952529416
Russia,24.989408489134007,83044.8734578812,84668.28970591332
Grenada,25.02308744234378,31.94592388649559,33.832874853001734
United Kingdom,25.61961940833066,10510.028677461769,10888.767214614574
Dominica,25.623473305827968,18.698478421888392,18.991494767502125
Armenia,25.86232762991348,653.8355142496085,708.6494839607944
Portugal,25.882897364721064,3590.2694584087135,3668.929348592906
Estonia,25.948114765690633,273.9331909919218,314.73218515207685
Azerbaijan,26.157645173956855,1748.656211251574,1791.6719777257063
Luxembourg,26.584911504243838,68.37601121199096,71.1254551160264
Malta,26.596055543402134,74.71457099087465,76.36015074324204
Sweden,26.76256028845383,1818.6135623987377,1840.9770370344513
Moldova,26.772377073926794,1533.8012560005157,1640.315238529549
Norway,27.45798482615731,778.0661546250516,795.7737960776711
Czechia,27.591863584728795,2651.8037893835103,2705.3352976569845
Croatia,27.699586145207416,1807.182104036491,1846.7974635545697
Nicaragua,27.85991878572141,280.7237656353681,308.9674579442944
Kyrgyzstan,29.24105489367872,1107.2756298740317,1131.6853840623103
Niue,37.54072109404023,1.2495238762173142,1.2528931429015417
